userId,title,pred
1,Alien (1979),0.6077157
1,American Beauty (1999),0.90565765
1,Babe (1995),0.105266064
1,Back to the Future (1985),0.59633857
1,"Clockwork Orange, A (1971)",0.64164996
1,Clueless (1995),0.2595324
1,Die Hard (1988),0.39527005
1,Fight Club (1999),0.9050808
1,Ghost (1990),0.10992056
1,Interview with the Vampire: The Vampire Chronicles (1994),0.093430385
1,"Net, The (1995)",0.06174863
1,Pirates of the Caribbean: The Curse of the Black Pearl (2003),0.50001895
1,Saving Private Ryan (1998),0.695869
1,Schindler's List (1993),0.6928223
1,Star Wars: Episode I - The Phantom Menace (1999),0.41066778
1,There's Something About Mary (1998),0.33420762
1,Waterworld (1995),0.0659538
2,Alien (1979),0.13924605
2,Babe (1995),-0.0031508207
2,Back to the Future (1985),0.1970197
2,Batman (1989),0.03996192
2,Beauty and the Beast (1991),0.021272838
2,Cliffhanger (1993),-0.0200667
2,Dances with Wolves (1990),0.043750018
2,Fight Club (1999),0.30375546
2,"Fugitive, The (1993)",0.012370527
2,Groundhog Day (1993),0.061164975
2,Home Alone (1990),0.0055841133
2,L.A. Confidential (1997),0.14529914
2,"Lion King, The (1994)",0.039851755
2,"Lord of the Rings: The Fellowship of the Ring, The (2001)",0.21780455
2,"Lord of the Rings: The Return of the King, The (2003)",0.19136316
2,Outbreak (1995),0.029517055
2,Pretty Woman (1990),0.012762189
2,Pulp Fiction (1994),0.23849642
2,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),0.33205068
2,Saving Private Ryan (1998),0.22157663
2,Speed (1994),0.008114427
2,Terminator 2: Judgment Day (1991),0.07329041
3,American Beauty (1999),0.40755624
3,Back to the Future (1985),0.41737872
3,Beauty and the Beast (1991),0.18869334
3,Being John Malkovich (1999),0.22807139
3,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",0.14761364
3,Ghost (1990),0.11881584
3,Interview with the Vampire: The Vampire Chronicles (1994),0.112296134
3,"Lord of the Rings: The Two Towers, The (2002)",0.2445513
3,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.22887236
3,"Mask, The (1994)",0.17218044
3,"Matrix, The (1999)",0.47998106
3,"Net, The (1995)",0.094299026
3,One Flew Over the Cuckoo's Nest (1975),0.23029804
3,Reservoir Dogs (1992),0.22797012
3,"Shawshank Redemption, The (1994)",0.48866254
3,"Silence of the Lambs, The (1991)",0.5112064
3,Star Wars: Episode V - The Empire Strikes Back (1980),0.5408357
3,Taxi Driver (1976),0.27720064
3,Terminator 2: Judgment Day (1991),0.43610445
3,"Terminator, The (1984)",0.36092347
3,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0.2794474
3,Twister (1996),0.21228418
4,Ace Ventura: Pet Detective (1994),0.34054542
4,Aliens (1986),0.021392226
4,Babe (1995),0.17005181
4,Beauty and the Beast (1991),0.2912057
4,"Clockwork Orange, A (1971)",0.040582657
4,Dances with Wolves (1990),0.45063198
4,Die Hard (1988),0.07481879
4,"Godfather: Part II, The (1974)",-0.004947841
4,Goodfellas (1990),0.017268836
4,"Lord of the Rings: The Return of the King, The (2003)",0.008599281
4,Memento (2000),0.02208525
4,One Flew Over the Cuckoo's Nest (1975),-0.012639761
4,Saving Private Ryan (1998),0.06501049
4,Twister (1996),0.3413815
4,"Usual Suspects, The (1995)",0.034338832
5,Apollo 13 (1995),0.6875213
5,Batman Forever (1995),0.42125854
5,Clear and Present Danger (1994),0.27283877
5,Die Hard: With a Vengeance (1995),0.42863342
5,Four Weddings and a Funeral (1994),0.3399341
5,Mrs. Doubtfire (1993),0.5967453
5,One Flew Over the Cuckoo's Nest (1975),0.2589568
5,Reservoir Dogs (1992),0.0959785
5,"Shawshank Redemption, The (1994)",0.6483081
5,"Sixth Sense, The (1999)",0.29238635
5,Taxi Driver (1976),0.21226686
5,Toy Story (1995),0.5376674
5,Willy Wonka & the Chocolate Factory (1971),0.31089413
6,Ace Ventura: Pet Detective (1994),0.03328646
6,Blade Runner (1982),0.041412055
6,Die Hard: With a Vengeance (1995),0.03663045
6,Fight Club (1999),0.033921897
6,"Firm, The (1993)",0.07412693
6,"Fugitive, The (1993)",0.05224383
6,L.A. Confidential (1997),0.028475761
6,Mrs. Doubtfire (1993),0.06789434
6,Pretty Woman (1990),0.086809486
6,Reservoir Dogs (1992),0.02745521
6,Shrek (2001),0.084622264
6,"Silence of the Lambs, The (1991)",-0.027109504
6,Stargate (1994),0.022648215
6,True Lies (1994),0.08432813
6,Waterworld (1995),0.06893404
6,X-Men (2000),0.08486259
7,Aliens (1986),0.26666123
7,Back to the Future (1985),0.53928524
7,Batman Forever (1995),0.14976329
7,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",0.21656346
7,Die Hard (1988),0.38290113
